id	passenger_no	passenger_name	flight_id	seat_no	cost
1	112233	Иван Иванов	1	A1	200.00
2	23234A	Петр Петров	1	B1	180.00
3	SS988D	Светлана Светикова	1	B2	175.00
4	QYASDE	Андрей Андреев	1	C2	175.00
5	POQ234	Иван Кожемякин	1	D1	160.00
6	898123	Олег Рубцов	1	A2	198.00
7	555321	Екатерина Петренко	2	A1	250.00
8	QO23OO	Иван Розмаринов	2	B2	225.00
9	9883IO	Иван Кожемякин	2	C1	217.00
10	123UI2	Андрей Буйнов	2	C2	227.00
11	SS988D	Светлана Светикова	2	D2	277.00
12	EE2344	Дмитрий Трусцов	3	А1	300.00
13	AS23PP	Максим Комсомольцев	3	А2	285.00
14	322349	Эдуард Щеглов	3	B1	99.00
15	DL123S	Игорь Беркутов	3	B2	199.00
16	MVM111	Алексей Щербин	3	C1	299.00
17	ZZZ111	Денис Колобков	3	C2	230.00
18	234444	Иван Старовойтов	3	D1	180.00
19	LLLL12	Людмила Старовойтова	3	D2	224.00
20	RT34TR	Степан Дор	4	A1	129.00
21	999666	Анастасия Шепелева	4	A2	152.00
22	234444	Иван Старовойтов	4	B1	140.00
23	LLLL12	Людмила Старовойтова	4	B2	140.00
24	LLLL12	Роман Дронов	4	D2	109.00
25	112233	Иван Иванов	5	С2	170.00
26	NMNBV2	Лариса Тельникова	5	С1	185.00
27	DSA586	Лариса Привольная	5	A1	204.00
28	DSA583	Артур Мирный	5	B1	189.00
29	DSA581	Евгений Кудрявцев	6	A1	204.00
30	EE2344	Дмитрий Трусцов	6	A2	214.00
31	AS23PP	Максим Комсомольцев	6	B2	176.00
32	112233	Иван Иванов	6	B1	135.00
33	309623	Татьяна Крот	6	С1	155.00
34	319623	Юрий Дувинков	6	D1	125.00
35	322349	Эдуард Щеглов	7	A1	69.00
36	DIOPSL	Евгений Безфамильная	7	A2	58.00
37	DIOPS1	Константин Швец	7	D1	65.00
38	DIOPS2	Юлия Швец	7	D2	65.00
39	1IOPS2	Ник Говриленко	7	C2	73.00
40	999666	Анастасия Шепелева	7	B1	66.00
41	23234A	Петр Петров	7	C1	80.00
42	QYASDE	Андрей Андреев	8	A1	100.00
43	1QAZD2	Лариса Потемнкина	8	A2	89.00
44	5QAZD2	Карл Хмелев	8	B2	79.00
45	2QAZD2	Жанна Хмелева	8	С2	77.00
46	BMXND1	Светлана Хмурая	8	В2	94.00
47	BMXND2	Кирилл Сарычев	8	D1	81.00
48	SS988D	Светлана Светикова	9	A2	222.00
49	SS978D	Андрей Желудь	9	A1	198.00
50	SS968D	Дмитрий Воснецов	9	B1	243.00
51	SS958D	Максим Гребцов	9	С1	251.00
52	112233	Иван Иванов	9	С2	135.00
53	NMNBV2	Лариса Тельникова	9	B2	217.00
54	23234A	Петр Петров	9	D1	189.00
55	123951	Полина Зверева	9	D2	234.00
